date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:14	66183/66183	---M--	200	added ('OK')	image/jpeg	etag:%2210287-5582cc9e-79e41540782e90ad%22	http://thebluewalrus.com/wp-content/uploads/2015/06/wolf-alice-my-love-is-cool.jpg	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/uploads/2015/06/wolf-alice-my-love-is-cool.jpg	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:15	14960/14960	---M--	200	added ('OK')	image/png	etag:%223a70-529b6d61-d7e1b15dfc39b6c9%22	http://thebluewalrus.com/wp-content/uploads/2013/12/thebluewalrus.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/uploads/2013/12/thebluewalrus.png	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:15	2524/2524	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jul%202015%2016:54:56%20GMT	http://i2.wp.com/thebluewalrus.com/wp-content/uploads/2015/07/kisses-a-groove.jpg?resize=100%2C70	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/i2.wp.com/thebluewalrus.com/wp-content/uploads/2015/07/kisses-a-groove7472.jpg	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:15	17520/17520	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Jul%202015%2023:13:13%20GMT	http://i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/06/wolf-alice-my-love-is-cool.jpg?resize=580%2C580	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/06/wolf-alice-my-love-is-cool7b0c.jpg	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:15	1441/1441	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Jul%202015%2019:12:49%20GMT	http://i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/07/kazy-lambist-on-you.jpg?resize=100%2C70	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/07/kazy-lambist-on-you7472.jpg	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:16	1805/1805	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jul%202015%2017:50:35%20GMT	http://i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/07/summer-mixtape-2015.jpg?resize=100%2C70	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/07/summer-mixtape-20157472.jpg	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:17	17/17	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202015%2010:04:11%20GMT	http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/?cf_action=sync_comments&post_id=12803	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/index9476.html	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:17	62230/62230	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jul%202015%2010:04:09%20GMT	http://i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/06/wolf-alice-my-love-is-cool.jpg?resize=1500%2C1500	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/i1.wp.com/thebluewalrus.com/wp-content/uploads/2015/06/wolf-alice-my-love-is-cool49d2.jpg	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:17	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202015%2010:04:11%20GMT	http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/12803%20http://thebluewalrus.com/?p=12803	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/12803%20http_/thebluewalrus.com/index7e3e.html	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:17	3019/3019	---M--	200	added ('OK')	image/png	etag:%22bcb-54171ec4-5d216ef4a537eb63%22	http://www.thebluewalrus.com/wp-content/themes/bluecassia/images/icons/facebook.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/www.thebluewalrus.com/wp-content/themes/bluecassia/images/icons/facebook.png	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:17	3238/3238	---M--	200	added ('OK')	image/png	etag:%22ca6-54171ec5-c8d4f3b322b1f429%22	http://www.thebluewalrus.com/wp-content/themes/bluecassia/images/icons/twitter.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/www.thebluewalrus.com/wp-content/themes/bluecassia/images/icons/twitter.png	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
03:04:18	3110/3110	---M--	200	added ('OK')	image/png	etag:%22c26-541721bd-ec7dffa5ad4a0a83%22	http://www.thebluewalrus.com/wp-content/themes/bluecassia/images/icons/tumblr.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/www.thebluewalrus.com/wp-content/themes/bluecassia/images/icons/tumblr.png	(from http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/)
